2048,1,1STFLOOR:STORAGE,Zone Infiltration Sensible Heat Gain Energy [J] !TimeStep,2,6,Day of Simulation[],Month[],Day of Month[],DST Indicator[1=yes 0=no],Hour[],StartMinute[],EndMinute[],DayType
2048,0.0,2,1, 7,29, 1, 7,40.00,45.00,Monday         
2048,0.0,2,1, 7,29, 1, 7,45.00,50.00,Monday         
2048,0.0,2,1, 7,29, 1, 7,50.00,55.00,Monday         
2048,0.0,2,1, 7,29, 1, 7,55.00,60.00,Monday         
2048,0.0,2,1, 7,29, 1, 8, 0.00, 5.00,Monday         
2048,0.0,2,1, 7,29, 1, 8, 5.00,10.00,Monday         
2048,0.0,2,1, 7,29, 1, 8,10.00,15.00,Monday         
2048,0.0,2,1, 7,29, 1, 8,15.00,20.00,Monday         
2048,0.0,2,1, 7,29, 1, 8,20.00,25.00,Monday         
2048,0.0,2,1, 7,29, 1, 8,25.00,30.00,Monday         
2048,0.0,2,1, 7,29, 1, 8,30.00,35.00,Monday         
2048,0.0,2,1, 7,29, 1, 8,35.00,40.00,Monday         
2048,0.0,2,1, 7,29, 1, 8,40.00,45.00,Monday         
2048,0.0,2,1, 7,29, 1, 8,45.00,50.00,Monday         
2048,0.0,2,1, 7,29, 1, 8,50.00,55.00,Monday         
2048,0.0,2,1, 7,29, 1, 8,55.00,60.00,Monday         
2048,0.0,2,1, 7,29, 1, 9, 0.00, 5.00,Monday         
2048,0.0,2,1, 7,29, 1, 9, 5.00,10.00,Monday         
2048,0.0,2,1, 7,29, 1, 9,10.00,15.00,Monday         
2048,0.0,2,1, 7,29, 1, 9,15.00,20.00,Monday         
2048,0.0,2,1, 7,29, 1, 9,20.00,25.00,Monday         
2048,0.0,2,1, 7,29, 1, 9,25.00,30.00,Monday         
2048,0.0,2,1, 7,29, 1, 9,30.00,35.00,Monday         
2048,0.0,2,1, 7,29, 1, 9,35.00,40.00,Monday         
2048,0.0,2,1, 7,29, 1, 9,40.00,45.00,Monday         
2048,0.0,2,1, 7,29, 1, 9,45.00,50.00,Monday         
2048,0.0,2,1, 7,29, 1, 9,50.00,55.00,Monday         
2048,0.0,2,1, 7,29, 1, 9,55.00,60.00,Monday         
2048,0.0,2,1, 7,29, 1,10, 0.00, 5.00,Monday         
2048,0.0,2,1, 7,29, 1,10, 5.00,10.00,Monday         
2048,0.0,2,1, 7,29, 1,10,10.00,15.00,Monday         
2048,0.0,2,1, 7,29, 1,10,15.00,20.00,Monday         
2048,0.0,2,1, 7,29, 1,10,20.00,25.00,Monday         
2048,0.0,2,1, 7,29, 1,10,25.00,30.00,Monday         
2048,0.0,2,1, 7,29, 1,10,30.00,35.00,Monday         
2048,0.0,2,1, 7,29, 1,10,35.00,40.00,Monday         
2048,0.0,2,1, 7,29, 1,10,40.00,45.00,Monday         
2048,0.0,2,1, 7,29, 1,10,45.00,50.00,Monday         
2048,0.0,2,1, 7,29, 1,10,50.00,55.00,Monday         
2048,0.0,2,1, 7,29, 1,10,55.00,60.00,Monday         
2048,0.0,2,1, 7,29, 1,11, 0.00, 5.00,Monday         
2048,0.0,2,1, 7,29, 1,11, 5.00,10.00,Monday         
2048,0.0,2,1, 7,29, 1,11,10.00,15.00,Monday         
2048,0.0,2,1, 7,29, 1,11,15.00,20.00,Monday         
2048,0.0,2,1, 7,29, 1,11,20.00,25.00,Monday         
2048,0.0,2,1, 7,29, 1,11,25.00,30.00,Monday         
2048,1391.150878998,2,1, 7,29, 1,11,30.00,35.00,Monday         
2048,2885.12215938045,2,1, 7,29, 1,11,35.00,40.00,Monday         
2048,4953.17631502175,2,1, 7,29, 1,11,40.00,45.00,Monday         
2048,6937.56001683499,2,1, 7,29, 1,11,45.00,50.00,Monday         
2048,8288.49154161466,2,1, 7,29, 1,11,50.00,55.00,Monday         
2048,9888.84585811464,2,1, 7,29, 1,11,55.00,60.00,Monday         
2048,9904.10502850067,2,1, 7,29, 1,12, 0.00, 5.00,Monday         
2048,10132.999540928,2,1, 7,29, 1,12, 5.00,10.00,Monday         
2048,10415.9261229097,2,1, 7,29, 1,12,10.00,15.00,Monday         
2048,10669.1552022816,2,1, 7,29, 1,12,15.00,20.00,Monday         
2048,10890.7707471123,2,1, 7,29, 1,12,20.00,25.00,Monday         
2048,11103.3678320824,2,1, 7,29, 1,12,25.00,30.00,Monday         
2048,11319.8083370319,2,1, 7,29, 1,12,30.00,35.00,Monday         
2048,11540.5875750773,2,1, 7,29, 1,12,35.00,40.00,Monday         
2048,11762.2374697955,2,1, 7,29, 1,12,40.00,45.00,Monday         
2048,11982.7163034855,2,1, 7,29, 1,12,45.00,50.00,Monday         
2048,12201.9339576357,2,1, 7,29, 1,12,50.00,55.00,Monday         
2048,12420.4661614009,2,1, 7,29, 1,12,55.00,60.00,Monday         
2048,12350.4672678696,2,1, 7,29, 1,13, 0.00, 5.00,Monday         
2048,12310.5839770364,2,1, 7,29, 1,13, 5.00,10.00,Monday         
2048,12283.9847600093,2,1, 7,29, 1,13,10.00,15.00,Monday         
2048,12258.7795141388,2,1, 7,29, 1,13,15.00,20.00,Monday         
2048,12232.1229693064,2,1, 7,29, 1,13,20.00,25.00,Monday         
2048,12205.4132789403,2,1, 7,29, 1,13,25.00,30.00,Monday         
2048,12180.0442234395,2,1, 7,29, 1,13,30.00,35.00,Monday         
2048,12156.2892721021,2,1, 7,29, 1,13,35.00,40.00,Monday         
2048,12133.8509516764,2,1, 7,29, 1,13,40.00,45.00,Monday         
2048,12112.4600777102,2,1, 7,29, 1,13,45.00,50.00,Monday         
2048,12092.0352663222,2,1, 7,29, 1,13,50.00,55.00,Monday         
2048,12072.5925133043,2,1, 7,29, 1,13,55.00,60.00,Monday         
2048,12068.1854994575,2,1, 7,29, 1,14, 0.00, 5.00,Monday         
2048,12058.7477568717,2,1, 7,29, 1,14, 5.00,10.00,Monday         
2048,12078.3927304092,2,1, 7,29, 1,14,10.00,15.00,Monday         
2048,12120.9914517818,2,1, 7,29, 1,14,15.00,20.00,Monday         
2048,12170.2679539915,2,1, 7,29, 1,14,20.00,25.00,Monday         
2048,12217.8724222104,2,1, 7,29, 1,14,25.00,30.00,Monday         
2048,12263.4719557243,2,1, 7,29, 1,14,30.00,35.00,Monday         
2048,12309.1061721218,2,1, 7,29, 1,14,35.00,40.00,Monday         
2048,12355.8926620038,2,1, 7,29, 1,14,40.00,45.00,Monday         
2048,12403.7986627156,2,1, 7,29, 1,14,45.00,50.00,Monday         
2048,12452.4503530936,2,1, 7,29, 1,14,50.00,55.00,Monday         
2048,12501.6321725584,2,1, 7,29, 1,14,55.00,60.00,Monday         
2048,10973.918641134,2,1, 7,29, 1,15, 0.00, 5.00,Monday         
2048,9609.19527545769,2,1, 7,29, 1,15, 5.00,10.00,Monday         
2048,8316.95442293086,2,1, 7,29, 1,15,10.00,15.00,Monday         
2048,7033.80868747572,2,1, 7,29, 1,15,15.00,20.00,Monday         
2048,5744.86890635303,2,1, 7,29, 1,15,20.00,25.00,Monday         
2048,4457.67750402118,2,1, 7,29, 1,15,25.00,30.00,Monday         
2048,3179.71155794356,2,1, 7,29, 1,15,30.00,35.00,Monday         
2048,1912.6064010714,2,1, 7,29, 1,15,35.00,40.00,Monday         
2048,655.049941344561,2,1, 7,29, 1,15,40.00,45.00,Monday         
2048,0.0,2,1, 7,29, 1,15,45.00,50.00,Monday         
2048,0.0,2,1, 7,29, 1,15,50.00,55.00,Monday         
2048,0.0,2,1, 7,29, 1,15,55.00,60.00,Monday         
2048,0.0,2,1, 7,29, 1,16, 0.00, 5.00,Monday         
2048,0.0,2,1, 7,29, 1,16, 5.00,10.00,Monday         
2048,0.0,2,1, 7,29, 1,16,10.00,15.00,Monday         
2048,0.0,2,1, 7,29, 1,16,15.00,20.00,Monday         
2048,0.0,2,1, 7,29, 1,16,20.00,25.00,Monday         
2048,0.0,2,1, 7,29, 1,16,25.00,30.00,Monday         
2048,0.0,2,1, 7,29, 1,16,30.00,35.00,Monday         
2048,0.0,2,1, 7,29, 1,16,35.00,40.00,Monday         
2048,0.0,2,1, 7,29, 1,16,40.00,45.00,Monday         
2048,0.0,2,1, 7,29, 1,16,45.00,50.00,Monday         
2048,0.0,2,1, 7,29, 1,16,50.00,55.00,Monday         
2048,0.0,2,1, 7,29, 1,16,55.00,60.00,Monday         
2048,0.0,2,1, 7,29, 1,17, 0.00, 5.00,Monday         
2048,0.0,2,1, 7,29, 1,17, 5.00,10.00,Monday         
2048,0.0,2,1, 7,29, 1,17,10.00,15.00,Monday         
2048,0.0,2,1, 7,29, 1,17,15.00,20.00,Monday         
2048,0.0,2,1, 7,29, 1,17,20.00,25.00,Monday         
2048,0.0,2,1, 7,29, 1,17,25.00,30.00,Monday         
2048,0.0,2,1, 7,29, 1,17,30.00,35.00,Monday         
2048,0.0,2,1, 7,29, 1,17,35.00,40.00,Monday         
2048,0.0,2,1, 7,29, 1,17,40.00,45.00,Monday         
2048,0.0,2,1, 7,29, 1,17,45.00,50.00,Monday         
2048,0.0,2,1, 7,29, 1,17,50.00,55.00,Monday         
2048,0.0,2,1, 7,29, 1,17,55.00,60.00,Monday         
2048,0.0,2,1, 7,29, 1,18, 0.00, 5.00,Monday         
2048,0.0,2,1, 7,29, 1,18, 5.00,10.00,Monday         
2048,0.0,2,1, 7,29, 1,18,10.00,15.00,Monday         
2048,0.0,2,1, 7,29, 1,18,15.00,20.00,Monday         
2048,0.0,2,1, 7,29, 1,18,20.00,25.00,Monday         
2048,0.0,2,1, 7,29, 1,18,25.00,30.00,Monday         
2048,0.0,2,1, 7,29, 1,18,30.00,35.00,Monday         
2048,0.0,2,1, 7,29, 1,18,35.00,40.00,Monday         
2048,0.0,2,1, 7,29, 1,18,40.00,45.00,Monday         
2048,0.0,2,1, 7,29, 1,18,45.00,50.00,Monday         
2048,0.0,2,1, 7,29, 1,18,50.00,55.00,Monday         
2048,0.0,2,1, 7,29, 1,18,55.00,60.00,Monday         
2048,0.0,2,1, 7,29, 1,19, 0.00, 5.00,Monday         
2048,0.0,2,1, 7,29, 1,19, 5.00,10.00,Monday         
2048,0.0,2,1, 7,29, 1,19,10.00,15.00,Monday         
2048,0.0,2,1, 7,29, 1,19,15.00,20.00,Monday         
2048,0.0,2,1, 7,29, 1,19,20.00,25.00,Monday         
2048,0.0,2,1, 7,29, 1,19,25.00,30.00,Monday         
2048,0.0,2,1, 7,29, 1,19,30.00,35.00,Monday         
2048,0.0,2,1, 7,29, 1,19,35.00,40.00,Monday         
2048,0.0,2,1, 7,29, 1,19,40.00,45.00,Monday         
2048,0.0,2,1, 7,29, 1,19,45.00,50.00,Monday         
2048,0.0,2,1, 7,29, 1,19,50.00,55.00,Monday         
2048,0.0,2,1, 7,29, 1,19,55.00,60.00,Monday         
2048,0.0,2,1, 7,29, 1,20, 0.00, 5.00,Monday         
2048,0.0,2,1, 7,29, 1,20, 5.00,10.00,Monday         
2048,0.0,2,1, 7,29, 1,20,10.00,15.00,Monday         
2048,0.0,2,1, 7,29, 1,20,15.00,20.00,Monday         
2048,0.0,2,1, 7,29, 1,20,20.00,25.00,Monday         
2048,0.0,2,1, 7,29, 1,20,25.00,30.00,Monday         
2048,0.0,2,1, 7,29, 1,20,30.00,35.00,Monday         
2048,0.0,2,1, 7,29, 1,20,35.00,40.00,Monday         
2048,0.0,2,1, 7,29, 1,20,40.00,45.00,Monday         
2048,0.0,2,1, 7,29, 1,20,45.00,50.00,Monday         
2048,0.0,2,1, 7,29, 1,20,50.00,55.00,Monday         
2048,0.0,2,1, 7,29, 1,20,55.00,60.00,Monday         
2048,0.0,2,1, 7,29, 1,21, 0.00, 5.00,Monday         
2048,0.0,2,1, 7,29, 1,21, 5.00,10.00,Monday         
2048,0.0,2,1, 7,29, 1,21,10.00,15.00,Monday         
2048,0.0,2,1, 7,29, 1,21,15.00,20.00,Monday         
2048,0.0,2,1, 7,29, 1,21,20.00,25.00,Monday         
2048,0.0,2,1, 7,29, 1,21,25.00,30.00,Monday         
2048,0.0,2,1, 7,29, 1,21,30.00,35.00,Monday         
2048,0.0,2,1, 7,29, 1,21,35.00,40.00,Monday         
2048,0.0,2,1, 7,29, 1,21,40.00,45.00,Monday         
2048,0.0,2,1, 7,29, 1,21,45.00,50.00,Monday         
2048,0.0,2,1, 7,29, 1,21,50.00,55.00,Monday         
2048,0.0,2,1, 7,29, 1,21,55.00,60.00,Monday         
2048,0.0,2,1, 7,29, 1,22, 0.00, 5.00,Monday         
2048,0.0,2,1, 7,29, 1,22, 5.00,10.00,Monday         
2048,0.0,2,1, 7,29, 1,22,10.00,15.00,Monday         
2048,0.0,2,1, 7,29, 1,22,15.00,20.00,Monday         
2048,0.0,2,1, 7,29, 1,22,20.00,25.00,Monday         
2048,0.0,2,1, 7,29, 1,22,25.00,30.00,Monday         
2048,0.0,2,1, 7,29, 1,22,30.00,35.00,Monday         
2048,0.0,2,1, 7,29, 1,22,35.00,40.00,Monday         
2048,0.0,2,1, 7,29, 1,22,40.00,45.00,Monday         
2048,0.0,2,1, 7,29, 1,22,45.00,50.00,Monday         
2048,0.0,2,1, 7,29, 1,22,50.00,55.00,Monday         
2048,0.0,2,1, 7,29, 1,22,55.00,60.00,Monday         
2048,0.0,2,1, 7,29, 1,23, 0.00, 5.00,Monday         
2048,0.0,2,1, 7,29, 1,23, 5.00,10.00,Monday         
2048,0.0,2,1, 7,29, 1,23,10.00,15.00,Monday         
2048,0.0,2,1, 7,29, 1,23,15.00,20.00,Monday         
2048,0.0,2,1, 7,29, 1,23,20.00,25.00,Monday         
2048,0.0,2,1, 7,29, 1,23,25.00,30.00,Monday         
2048,0.0,2,1, 7,29, 1,23,30.00,35.00,Monday         
2048,0.0,2,1, 7,29, 1,23,35.00,40.00,Monday         
2048,0.0,2,1, 7,29, 1,23,40.00,45.00,Monday         
2048,0.0,2,1, 7,29, 1,23,45.00,50.00,Monday         
2048,0.0,2,1, 7,29, 1,23,50.00,55.00,Monday         
2048,0.0,2,1, 7,29, 1,23,55.00,60.00,Monday         
2048,0.0,2,1, 7,29, 1,24, 0.00, 5.00,Monday         
2048,0.0,2,1, 7,29, 1,24, 5.00,10.00,Monday         
2048,0.0,2,1, 7,29, 1,24,10.00,15.00,Monday         
2048,0.0,2,1, 7,29, 1,24,15.00,20.00,Monday         
2048,0.0,2,1, 7,29, 1,24,20.00,25.00,Monday         
2048,0.0,2,1, 7,29, 1,24,25.00,30.00,Monday         
2048,0.0,2,1, 7,29, 1,24,30.00,35.00,Monday         
2048,0.0,2,1, 7,29, 1,24,35.00,40.00,Monday         
2048,0.0,2,1, 7,29, 1,24,40.00,45.00,Monday         
2048,0.0,2,1, 7,29, 1,24,45.00,50.00,Monday         
2048,0.0,2,1, 7,29, 1,24,50.00,55.00,Monday         
2048,0.0,2,1, 7,29, 1,24,55.00,60.00,Monday         
2048,0.0,2,2, 7,30, 1, 1, 0.00, 5.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 1, 5.00,10.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 1,10.00,15.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 1,15.00,20.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 1,20.00,25.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 1,25.00,30.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 1,30.00,35.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 1,35.00,40.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 1,40.00,45.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 1,45.00,50.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 1,50.00,55.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 1,55.00,60.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 2, 0.00, 5.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 2, 5.00,10.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 2,10.00,15.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 2,15.00,20.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 2,20.00,25.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 2,25.00,30.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 2,30.00,35.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 2,35.00,40.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 2,40.00,45.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 2,45.00,50.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 2,50.00,55.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 2,55.00,60.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 3, 0.00, 5.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 3, 5.00,10.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 3,10.00,15.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 3,15.00,20.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 3,20.00,25.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 3,25.00,30.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 3,30.00,35.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 3,35.00,40.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 3,40.00,45.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 3,45.00,50.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 3,50.00,55.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 3,55.00,60.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 4, 0.00, 5.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 4, 5.00,10.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 4,10.00,15.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 4,15.00,20.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 4,20.00,25.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 4,25.00,30.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 4,30.00,35.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 4,35.00,40.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 4,40.00,45.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 4,45.00,50.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 4,50.00,55.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 4,55.00,60.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 5, 0.00, 5.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 5, 5.00,10.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 5,10.00,15.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 5,15.00,20.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 5,20.00,25.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 5,25.00,30.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 5,30.00,35.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 5,35.00,40.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 5,40.00,45.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 5,45.00,50.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 5,50.00,55.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 5,55.00,60.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 6, 0.00, 5.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 6, 5.00,10.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 6,10.00,15.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 6,15.00,20.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 6,20.00,25.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 6,25.00,30.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 6,30.00,35.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 6,35.00,40.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 6,40.00,45.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 6,45.00,50.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 6,50.00,55.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 6,55.00,60.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 7, 0.00, 5.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 7, 5.00,10.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 7,10.00,15.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 7,15.00,20.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 7,20.00,25.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 7,25.00,30.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 7,30.00,35.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 7,35.00,40.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 7,40.00,45.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 7,45.00,50.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 7,50.00,55.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 7,55.00,60.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 8, 0.00, 5.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 8, 5.00,10.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 8,10.00,15.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 8,15.00,20.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 8,20.00,25.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 8,25.00,30.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 8,30.00,35.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 8,35.00,40.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 8,40.00,45.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 8,45.00,50.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 8,50.00,55.00,Tuesday        
2048,0.0,2,2, 7,30, 1, 8,55.00,60.00,Tuesday        
